country,zip,primary_city,state_name,state,county,county_code,a,b,latitude,longitude,accuracy,country_name
IT,"67030","Villa Scontrone","Abruzzi","AB","L'Aquila","AQ","","","41.953","13.9184","3",Italy
IT,"67031","Castel Di Sangro","Abruzzi","AB","L'Aquila","AQ","","","41.7737","14.1035","4",Italy
IT,"67031","Roccacinquemiglia","Abruzzi","AB","L'Aquila","AQ","","","41.7737","14.1035","3",Italy
IT,"67032","Pescasseroli","Abruzzi","AB","L'Aquila","AQ","","","41.804","13.7889","4",Italy
IT,"67033","Pescocostanzo","Abruzzi","AB","L'Aquila","AQ","","","41.8863","14.0656","4",Italy
IT,"67034","Pettorano Sul Gizio","Abruzzi","AB","L'Aquila","AQ","","","41.9745","13.9587","4",Italy
IT,"67035","Pratola Peligna","Abruzzi","AB","L'Aquila","AQ","","","42.0983","13.8739","4",Italy
IT,"67035","Bagnaturo","Abruzzi","AB","L'Aquila","AQ","","","42.0983","13.8739","3",Italy
IT,"67036","Rivisondoli","Abruzzi","AB","L'Aquila","AQ","","","41.8702","14.0667","4",Italy
IT,"67037","Pietransieri","Abruzzi","AB","L'Aquila","AQ","","","41.8467","14.1191","4",Italy
IT,"67037","Roccaraso","Abruzzi","AB","L'Aquila","AQ","","","41.8501","14.0784","4",Italy
IT,"67037","Aremogna","Abruzzi","AB","L'Aquila","AQ","","","41.824","14.0342","4",Italy
IT,"67038","Frattura Di Scanno","Abruzzi","AB","L'Aquila","AQ","","","41.9333","13.8667","4",Italy
IT,"67038","Scanno","Abruzzi","AB","L'Aquila","AQ","","","41.901","13.8836","4",Italy
IT,"67038","Frattura","Abruzzi","AB","L'Aquila","AQ","","","41.9333","13.8667","4",Italy
IT,"67039","Cavate","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","3",Italy
IT,"67039","Albanese","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","3",Italy
IT,"67039","Abazia Di Sulmona","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","3",Italy
IT,"67039","Torrone Di Sulmona","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","3",Italy
IT,"67039","Torrone","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","3",Italy
IT,"67039","Marane","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","3",Italy
IT,"67039","Sulmona","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","4",Italy
IT,"67039","Arabona","Abruzzi","AB","L'Aquila","AQ","","","42.0479","13.9291","3",Italy
IT,"67040","Ocre","Abruzzi","AB","L'Aquila","AQ","","","42.2859","13.4753","4",Italy
IT,"67040","Collarmele","Abruzzi","AB","L'Aquila","AQ","","","42.059","13.6257","4",Italy
IT,"67040","San Martino D'Ocre","Abruzzi","AB","L'Aquila","AQ","","","42.1725","13.5505","3",Italy
IT,"67041","Aielli Stazione","Abruzzi","AB","L'Aquila","AQ","","","42.0808","13.5906","3",Italy
IT,"67041","Aielli","Abruzzi","AB","L'Aquila","AQ","","","42.0808","13.5906","4",Italy
IT,"67043","Celano","Abruzzi","AB","L'Aquila","AQ","","","42.0855","13.5398","4",Italy
IT,"67044","Cerchio","Abruzzi","AB","L'Aquila","AQ","","","42.0609","13.6017","4",Italy
IT,"67045","Lucoli","Abruzzi","AB","L'Aquila","AQ","","","42.2909","13.338","4",Italy
IT,"67045","Ville Di Lucoli","Abruzzi","AB","L'Aquila","AQ","","","42.2636","13.3682","3",Italy
IT,"67045","Casamaina","Abruzzi","AB","L'Aquila","AQ","","","42.25","13.3833","4",Italy
IT,"67045","Casamaina Di Lucoli","Abruzzi","AB","L'Aquila","AQ","","","42.25","13.3833","4",Italy
IT,"67046","Ovindoli","Abruzzi","AB","L'Aquila","AQ","","","42.137","13.5161","4",Italy
IT,"67046","Santo Iona","Abruzzi","AB","L'Aquila","AQ","","","42.1268","13.508","3",Italy
IT,"67046","San Potito","Abruzzi","AB","L'Aquila","AQ","","","42.1167","13.5","4",Italy
IT,"67047","Rocca Di Cambio","Abruzzi","AB","L'Aquila","AQ","","","42.2361","13.489","4",Italy
IT,"67048","Rocca Di Mezzo","Abruzzi","AB","L'Aquila","AQ","","","42.2047","13.5193","4",Italy
IT,"67048","Rovere","Abruzzi","AB","L'Aquila","AQ","","","42.1667","13.5167","4",Italy
IT,"67048","Rovere Di Rocca Di Mezzo","Abruzzi","AB","L'Aquila","AQ","","","42.1667","13.5167","4",Italy
IT,"67049","Rocca Santo Stefano","Abruzzi","AB","L'Aquila","AQ","","","42.2987","13.2775","3",Italy
IT,"67049","Rocca Santo Stefano Di Tornimparte","Abruzzi","AB","L'Aquila","AQ","","","42.2987","13.2775","3",Italy
IT,"67049","San Nicola Di Tornimparte","Abruzzi","AB","L'Aquila","AQ","","","42.3","13.2667","4",Italy
IT,"67049","Tornimparte","Abruzzi","AB","L'Aquila","AQ","","","42.2994","13.2766","4",Italy
IT,"67049","San Nicola","Abruzzi","AB","L'Aquila","AQ","","","42.3","13.2667","4",Italy
IT,"67049","Villagrande","Abruzzi","AB","L'Aquila","AQ","","","42.2953","13.3","4",Italy
IT,"67050","Civita D'Antino","Abruzzi","AB","L'Aquila","AQ","","","41.8857","13.4715","4",Italy
IT,"67050","Villavallelonga","Abruzzi","AB","L'Aquila","AQ","","","41.8714","13.6212","4",Italy
IT,"67050","Rendinara","Abruzzi","AB","L'Aquila","AQ","","","41.8333","13.4667","4",Italy
IT,"67050","Carrito","Abruzzi","AB","L'Aquila","AQ","","","42.0167","13.7167","4",Italy
IT,"67050","San Vincenzo Vecchio","Abruzzi","AB","L'Aquila","AQ","","","41.8445","13.5354","4",Italy
IT,"67050","Albe","Abruzzi","AB","L'Aquila","AQ","","","42.0667","13.4","4",Italy
IT,"67050","Castronovo","Abruzzi","AB","L'Aquila","AQ","","","41.9464","13.511","3",Italy
IT,"67050","Canistro Superiore","Abruzzi","AB","L'Aquila","AQ","","","41.9464","13.511","3",Italy
IT,"67050","Pero Dei Santi","Abruzzi","AB","L'Aquila","AQ","","","41.9464","13.511","3",Italy
IT,"67050","Corona","Abruzzi","AB","L'Aquila","AQ","","","42.1","13.3833","4",Italy
IT,"67050","Pagliara","Abruzzi","AB","L'Aquila","AQ","","","42","13.3167","4",Italy
