country,zip,primary_city,state,state_name,county,country_name,latitude,longitude
JP,"100-6113","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6114","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6115","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6116","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6117","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6118","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6119","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6120","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6121","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6122","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6123","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6124","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6125","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6126","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6127","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6128","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6129","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6130","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6131","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6132","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6133","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6134","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6135","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6136","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6137","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6138","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6139","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6140","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6141","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6142","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6143","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"100-6144","Chiyoda","13","Tokyo","Nagatacho","Japan",35.673225,139.74065
JP,"101-0065","Chiyoda","13","Tokyo","Nishikanda","Japan",35.698814,139.75615
JP,"102-0084","Chiyoda","13","Tokyo","Nibancho","Japan",35.685505,139.73515
JP,"102-0092","Chiyoda","13","Tokyo","Hayabusacho","Japan",35.681236,139.74266
JP,"101-0031","Chiyoda","13","Tokyo","Higashikanda","Japan",35.696583,139.78154
JP,"100-0003","Chiyoda","13","Tokyo","Hitotsubashi","Japan",35.690823,139.75807
JP,"101-0003","Chiyoda","13","Tokyo","Hitotsubashi","Japan",35.693966,139.75746
JP,"100-0012","Chiyoda","13","Tokyo","Hibiyakoen","Japan",35.67184,139.75514
JP,"102-0093","Chiyoda","13","Tokyo","Hirakawacho","Japan",35.682728,139.74046
JP,"102-0071","Chiyoda","13","Tokyo","Fujimi","Japan",35.699287,139.74554
JP,"100-0005","Chiyoda","13","Tokyo","Marunouchi","Japan",35.67665,139.76512
JP,"100-7090","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7001","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7002","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7003","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
JP,"100-7004","Chiyoda","13","Tokyo","Marunouchi","Japan",35.679714,139.76457
